object_type,object_x,object_y,hand_x,hand_y,move_dx,move_dy,gripper_width
box,-0.42114996910095215,-0.016136229038238525,-0.5222216844558716,0.312644898891449,0.045482270419597626,-0.14795149862766266,0.09000000357627869
cup,0.5827938318252563,-0.39791831374168396,0.4869149923324585,0.2061924934387207,0.04314547777175903,-0.2718498706817627,0.05999999865889549
cup,0.10073208808898926,0.23231899738311768,0.3884463310241699,-0.365963339805603,-0.12947140634059906,0.2692270576953888,0.05999999865889549
cup,0.0997018814086914,-0.4458746910095215,-0.17019867897033691,-0.161695659160614,0.12145525217056274,-0.12788055837154388,0.05999999865889549
box,0.0865471363067627,0.5098073482513428,0.48395609855651855,0.04639410972595215,-0.17883402109146118,0.20853595435619354,0.09000000357627869
box,-0.2767946720123291,0.33894824981689453,0.19133883714675903,-0.05615502595901489,-0.21066007018089294,0.17779646813869476,0.09000000357627869
box,-0.2737348973751068,-0.04412186145782471,-0.5218525528907776,0.4686770439147949,0.11165294051170349,-0.23075950145721436,0.09000000357627869
box,0.3205570578575134,0.0029111504554748535,0.05758124589920044,-0.5971167683601379,0.11833911389112473,0.2700125575065613,0.09000000357627869
cup,-0.47699663043022156,0.3119966387748718,-0.5949960350990295,-0.46177542209625244,0.053099729120731354,0.34819743037223816,0.05999999865889549
cup,0.3642503023147583,0.31835609674453735,-0.4530903697013855,-0.27782344818115234,0.36780330538749695,0.2682807743549347,0.05999999865889549
bottle,0.44508397579193115,0.2676660418510437,-0.18227413296699524,0.3536487817764282,0.2823111414909363,-0.038692232221364975,0.03500000014901161
cup,0.4037209749221802,0.09842842817306519,0.3811582922935486,0.19540894031524658,0.010153206996619701,-0.04364122822880745,0.05999999865889549
cup,0.4073600769042969,-0.5285862684249878,-0.48899662494659424,0.4754844903945923,0.403360515832901,-0.4518318176269531,0.05999999865889549
cup,-0.08221513032913208,-0.0690508484840393,-0.008465826511383057,-0.39042502641677856,-0.03318718448281288,0.14461837708950043,0.05999999865889549
cup,-0.28539133071899414,0.15608489513397217,-0.19770142436027527,-0.37533605098724365,-0.03946045786142349,0.23913942277431488,0.05999999865889549
box,0.4530094861984253,-0.4048536419868469,0.39245837926864624,0.09272605180740356,0.027247997000813484,-0.223910853266716,0.09000000357627869
bottle,-0.30743467807769775,-0.19419130682945251,-0.34633442759513855,0.2567530870437622,0.017504887655377388,-0.2029249668121338,0.03500000014901161
bottle,0.46168696880340576,-0.5084972381591797,0.038988709449768066,-0.09313833713531494,0.19021421670913696,-0.18691149353981018,0.03500000014901161
cup,0.5880371332168579,-0.36669719219207764,0.29777222871780396,-0.24991774559020996,0.13061919808387756,-0.052550747990608215,0.05999999865889549
box,-0.08933818340301514,-0.07414400577545166,0.1628103256225586,-0.4787667393684387,-0.11346682906150818,0.1820802241563797,0.09000000357627869
box,-0.2414705753326416,0.4168269634246826,0.4264305830001831,-0.41480085253715515,-0.3005555272102356,0.37423253059387207,0.09000000357627869
box,-0.02581101655960083,-0.36774739623069763,-0.3798796534538269,-0.14718016982078552,0.15933088958263397,-0.09925524890422821,0.09000000357627869
cup,-0.33135488629341125,0.07667124271392822,0.4922446012496948,-0.22389480471611023,-0.3706197440624237,0.13525471091270447,0.05999999865889549
bottle,0.13499170541763306,-0.3283187747001648,-0.39931029081344604,-0.10435366630554199,0.2404358983039856,-0.1007842943072319,0.03500000014901161
bottle,0.10232919454574585,-0.3778981566429138,0.4591771364212036,-0.062276363372802734,-0.160581573843956,-0.14202980697155,0.03500000014901161
box,-0.009592771530151367,0.2605072855949402,0.42963075637817383,-0.20308107137680054,-0.19765058159828186,0.2086147516965866,0.09000000357627869
bottle,-0.05059283971786499,-0.17203575372695923,-0.18950459361076355,0.28912466764450073,0.06251028925180435,-0.2075221836566925,0.03500000014901161
bottle,-0.020269274711608887,0.21023648977279663,-0.5822435021400452,-0.29030486941337585,0.25288838148117065,0.22524359822273254,0.03500000014901161
bottle,-0.29704636335372925,0.032588183879852295,-0.5837514996528625,0.3685459494590759,0.12901730835437775,-0.15118099749088287,0.03500000014901161
box,0.3937253952026367,-0.005237936973571777,0.1676962971687317,0.3496684432029724,0.10171309113502502,-0.15970787405967712,0.09000000357627869
bottle,0.3950153589248657,-0.5421209335327148,0.2733478546142578,-0.5231844186782837,0.05475037544965744,-0.008521431125700474,0.03500000014901161
bottle,-0.5008507966995239,-0.2724514305591583,0.27377086877822876,-0.05729198455810547,-0.3485797345638275,-0.09682174772024155,0.03500000014901161
box,0.3232673406600952,0.3620961308479309,-0.011619389057159424,0.20399057865142822,0.15069901943206787,0.07114749401807785,0.09000000357627869
cup,-0.4459223449230194,0.22530919313430786,-0.46370309591293335,0.535315990447998,0.008001337759196758,-0.13950306177139282,0.05999999865889549
cup,-0.1076892614364624,0.1738770604133606,-0.028671622276306152,-0.5957536101341248,-0.03555793687701225,0.3463338017463684,0.05999999865889549
bottle,0.5642566680908203,-0.5808744430541992,-0.2338263988494873,0.5274393558502197,0.3591373562812805,-0.4987412095069885,0.03500000014901161
bottle,0.10604608058929443,0.360257089138031,-0.21802088618278503,0.5566333532333374,0.14583012461662292,-0.08836931735277176,0.03500000014901161
bottle,0.05020415782928467,-0.35921144485473633,0.5328956842422485,0.136516273021698,-0.21721118688583374,-0.2230774611234665,0.03500000014901161
bottle,-0.11049899458885193,-0.17884927988052368,0.3218879699707031,-0.597396194934845,-0.19457413256168365,0.18834610283374786,0.03500000014901161
cup,0.4650627374649048,0.5359736680984497,-0.31896185874938965,0.41238081455230713,0.3528110682964325,0.05561678111553192,0.05999999865889549
bottle,-0.23552721738815308,-0.5893140435218811,0.05774211883544922,-0.020883560180664062,-0.13197119534015656,-0.2557937204837799,0.03500000014901161
bottle,-0.1900734305381775,-0.3311215043067932,0.3347052335739136,-0.5388484597206116,-0.23615039885044098,0.09347712993621826,0.03500000014901161
box,0.5110043287277222,0.5664135217666626,-0.2784698009490967,-0.46378540992736816,0.355263352394104,0.46358951926231384,0.09000000357627869
